link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,original_link_id,original_node_id,main_node_id,movement_str,TMC
40,14001,20400,,,257.6551658534036,1,nan,104.0,motorway,1,,"LINESTRING (-112.03713 33.44475,-112.03725 33.44524,-112.03727 33.44538,-112.03731 33.44587,-112.03733 33.44621,-112.03734 33.44652,-112.03733 33.44707)",40,,,,
41,12101,43700,,,706.7057074144612,1,nan,120.0,motorway,1,,"LINESTRING (-112.06097 33.46211,-112.06171 33.46205,-112.06234 33.46206,-112.06323 33.46213,-112.06403 33.46218,-112.06486 33.46223,-112.06624 33.46232,-112.06697 33.46239,-112.06768 33.46242,-112.06792 33.46244,-112.06843 33.46246,-112.06855 33.46246)",41,,,,
42,31200,3402,,,776.1469068578795,1,nan,120.0,motorway,1,,"LINESTRING (-112.06926 33.46236,-112.06925 33.46236,-112.06908 33.46238,-112.06841 33.46241,-112.06792 33.46239,-112.06768 33.46237,-112.06698 33.46233,-112.06625 33.46227,-112.06486 33.46215,-112.06403 33.46207,-112.06324 33.462,-112.06236 33.4619,-112.06173 33.46185,-112.06096 33.46174)",42,,,,
43,14400,14500,,,170.1361442155031,1,nan,120.0,motorway,1,,"LINESTRING (-112.07801 33.46168,-112.07802 33.46168,-112.07804 33.46168,-112.07863 33.46162,-112.07911 33.46155,-112.07951 33.46148,-112.07977 33.46144,-112.07981 33.46143)",43,,,,
44,14501,14401,,,170.0382998980753,1,nan,120.0,motorway,1,,"LINESTRING (-112.0798 33.46137,-112.07975 33.46138,-112.0795 33.46142,-112.0791 33.46149,-112.07862 33.46156,-112.07803 33.46161,-112.07801 33.46162,-112.07799 33.46162)",44,,,,
45,33901,14700,,,856.1484447644168,1,nan,120.0,motorway,1,,"LINESTRING (-112.09085 33.46147,-112.09022 33.46149,-112.08939 33.46141,-112.08786 33.46127,-112.08468 33.461,-112.0836 33.46094,-112.0829 33.46095,-112.08174 33.46104,-112.08168 33.46106)",45,,,,
46,14801,14900,,,113.81079489262687,4,nan,120.0,motorway,1,,"LINESTRING (-112.07693 33.46184,-112.07815 33.46194)",46,,,,
47,15102,15200,,,57.37881178735465,2,nan,120.0,motorway,1,,"LINESTRING (-112.08159 33.46156,-112.08174 33.46152,-112.08185 33.4615,-112.08194 33.46148,-112.08201 33.46145,-112.08209 33.46142,-112.08216 33.46138)",47,,,,
48,15402,15500,,,100.51539723765224,2,nan,120.0,motorway,1,,"LINESTRING (-112.08421 33.46049,-112.08399 33.46047,-112.08387 33.46046,-112.08377 33.46046,-112.08369 33.46046,-112.08361 33.46047,-112.08351 33.46049,-112.08342 33.46051,-112.08333 33.46054,-112.08325 33.46057,-112.08316 33.46061)",48,,,,
49,3001,16600,,,592.6580312468575,1,nan,72.0,motorway,1,,"LINESTRING (-112.03775 33.43037,-112.03786 33.43013,-112.03793 33.4299,-112.03802 33.42955,-112.03811 33.42929,-112.03826 33.42892,-112.03846 33.4286,-112.03865 33.42836,-112.03889 33.42815,-112.03918 33.42795,-112.03946 33.4278,-112.03978 33.42767,-112.04016 33.42759,-112.04053 33.42755,-112.04214 33.42745)",49,,,,
