first_column,agent_id,o_zone_id,d_zone_id,path_id,display_code,agent_type,PCE_unit,demand_period,volume,toll,travel_time,distance_km,node_sequence,time_sequence
,108,1,2,0,sov,sov,1,AM,1,0.0,15.0750,18.6107,3;4;5;6;7;8;9;10;11;12;,363.700012;365.750000;366.916656;368.233337;369.416656;371.495819;372.566681;373.595825;374.533325;375.145844;
,109,1,2,0,sov,sov,1,AM,1,0.0,15.0951,18.6107,3;4;5;6;7;8;9;10;11;12;,363.716675;365.766663;366.933319;368.233337;369.416656;371.512512;372.583344;373.600006;374.558319;375.170837;
,110,1,2,0,sov,sov,1,AM,1,0.0,15.1153,18.6107,3;4;5;6;7;8;9;10;11;12;,363.716675;365.783325;366.933319;368.250000;369.433319;371.516663;372.600006;373.629181;374.579163;375.191681;
,111,1,2,0,sov,sov,1,AM,1,0.0,15.1229,18.6107,3;4;5;6;7;8;9;10;11;12;,363.733337;365.799988;366.950012;368.250000;369.433319;371.545837;372.616669;373.633331;374.583344;375.195831;
,112,1,2,0,sov,sov,1,AM,1,0.0,15.1431,18.6107,3;4;5;6;7;8;9;10;11;12;,363.750000;365.816681;366.966675;368.266663;369.450012;371.562500;372.633331;373.649994;374.608337;375.220825;
,113,1,2,0,sov,sov,1,AM,1,0.0,15.1549,18.6107,3;4;5;6;7;8;9;10;11;12;,363.766663;365.833344;366.983337;368.270844;369.450012;371.566681;372.633331;373.679169;374.616669;375.229156;
,114,1,2,0,sov,sov,1,AM,1,0.0,15.2667,18.6107,3;4;5;6;7;8;9;10;11;12;,363.833344;365.916656;367.058319;368.383331;369.566681;371.633331;372.720825;373.799988;374.733337;375.345825;
,115,1,2,0,sov,sov,1,AM,1,0.0,15.2826,18.6107,3;4;5;6;7;8;9;10;11;12;,363.850006;365.933319;367.058319;368.399994;369.600006;371.633331;372.720825;373.816681;374.750000;375.362488;
,116,1,2,0,sov,sov,1,AM,1,0.0,15.3069,18.6107,3;4;5;6;7;8;9;10;11;12;,363.850006;365.950012;367.075012;368.399994;369.600006;371.649994;372.750000;373.845825;374.774994;375.387512;
,117,1,2,0,sov,sov,1,AM,1,0.0,15.3229,18.6107,3;4;5;6;7;8;9;10;11;12;,363.866669;365.950012;367.083344;368.416656;369.616669;371.666656;372.766663;373.862488;374.791656;375.404175;
,118,1,2,0,sov,sov,1,AM,1,0.0,15.3431,18.6107,3;4;5;6;7;8;9;10;11;12;,363.883331;365.970825;367.100006;368.433319;369.616669;371.683319;372.766663;373.866669;374.812500;375.424988;
,119,1,2,0,sov,sov,1,AM,1,0.0,15.3590,18.6107,3;4;5;6;7;8;9;10;11;12;,363.883331;365.987488;367.125000;368.433319;369.633331;371.700012;372.783325;373.891663;374.829163;375.441681;
,120,1,2,0,sov,sov,1,AM,1,0.0,15.4833,18.6107,3;4;5;6;7;8;9;10;11;12;,363.958344;366.100006;367.237488;368.533325;369.733337;371.825012;372.883331;374.020844;374.950012;375.562500;
,121,1,2,0,sov,sov,1,AM,1,0.0,15.4993,18.6107,3;4;5;6;7;8;9;10;11;12;,363.966675;366.100006;367.237488;368.533325;369.733337;371.833344;372.899994;374.033325;374.966675;375.579163;
,122,1,2,0,sov,sov,1,AM,1,0.0,15.5111,18.6107,3;4;5;6;7;8;9;10;11;12;,363.991669;366.116669;367.258331;368.549988;369.750000;371.933319;372.991669;374.049988;374.983337;375.595825;
,123,1,2,0,sov,sov,1,AM,1,0.0,15.5312,18.6107,3;4;5;6;7;8;9;10;11;12;,364.008331;366.133331;367.304169;368.600006;369.783325;371.950012;373.016663;374.075012;375.004181;375.616669;
,124,1,2,0,sov,sov,1,AM,1,0.0,15.5431,18.6107,3;4;5;6;7;8;9;10;11;12;,364.016663;366.149994;367.304169;368.600006;369.799988;371.966675;373.037506;374.083344;375.016663;375.629181;
,125,1,2,0,sov,sov,1,AM,1,0.0,15.5632,18.6107,3;4;5;6;7;8;9;10;11;12;,364.033325;366.149994;367.320831;368.633331;369.816681;371.983337;373.049988;374.108337;375.037506;375.649994;
