mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,mvmt_txt_id,geometry,volume,free_speed,allowed_uses
107,47,,,73,1,1,71,1,1,1,,,thru,,,,WBT,"LINESTRING (-112.0023838 33.6549042, -112.0025563 33.6549083)",,,
108,47,,,73,1,1,77,1,1,1,,,right,,,,WBR,"LINESTRING (-112.0023838 33.6549042, -112.0024766 33.6549678)",,,
109,47,,,73,1,1,78,1,1,1,,,left,,,,WBL,"LINESTRING (-112.0023838 33.6549042, -112.0024780 33.6548229)",,,
110,47,,,76,1,1,71,1,1,1,,,right,,,,SBR,"LINESTRING (-112.0024967 33.6549638, -112.0025563 33.6549083)",,,
111,47,,,76,1,1,72,1,1,1,,,left,,,,SBL,"LINESTRING (-112.0024967 33.6549638, -112.0023838 33.6548812)",,,
112,47,,,76,1,1,78,1,1,1,,,thru,,,,SBT,"LINESTRING (-112.0024967 33.6549638, -112.0024780 33.6548229)",,,
113,47,,,79,1,1,71,1,1,1,,,left,,,,NBL,"LINESTRING (-112.0024560 33.6548229, -112.0025563 33.6549083)",,,
114,47,,,79,1,1,72,1,1,1,,,right,,,,NBR,"LINESTRING (-112.0024560 33.6548229, -112.0023838 33.6548812)",,,
115,47,,,79,1,1,77,1,1,1,,,thru,,,,NBT,"LINESTRING (-112.0024560 33.6548229, -112.0024766 33.6549678)",,,
116,48,,,72,1,1,74,1,1,1,,,thru,,,,EBT,"LINESTRING (-111.9642942 33.6536308, -111.9641207 33.6536289)",,,
117,48,,,75,1,1,73,1,1,1,,,thru,,,,WBT,"LINESTRING (-111.9641217 33.6536519, -111.9642932 33.6536538)",,,
