node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,activity_type,is_boundary,main_node_id
410,,-112.08275,33.4614,,,,,motorway,1,
411,,-112.08257,33.4614,,,,,motorway,1,
412,,-112.08265,33.4609,,,,,motorway,0,
413,,-112.09646,33.46139,,,,,motorway,0,
414,,-112.03812,33.43474,,,signal,,motorway,0,
415,,-112.03018,33.46204,,,,,motorway,0,
416,,-112.03714,33.43467,,,,,motorway,0,
417,,-112.03018,33.46216,,,,,motorway,0,
418,,-112.03033,33.46216,,,,,motorway,0,
419,,-112.03033,33.46205,,,,,motorway,0,
420,,-112.03796,33.47809,,,,,motorway,0,
421,,-112.08277,33.46274,,,,,motorway,1,
422,,-112.0483,33.46158,,,,,motorway,0,
423,,-112.03736,33.43384,,,,,motorway,0,
424,,-112.03737,33.43439,,,,,motorway,0,
425,,-112.03738,33.43496,,,,,motorway,0,
426,,-112.03758,33.44034,,,,,motorway,0,
427,,-112.03759,33.44077,,,,,motorway,0,
428,,-112.03656,33.4477,,,,,motorway,0,
429,,-112.03807,33.44782,,,,,motorway,0,
430,,-112.03805,33.44938,,,,,motorway,0,
431,,-112.09374,33.42928,,,,,motorway,0,
432,,-112.0294,33.4269,,,,,motorway,0,
433,,-112.08186,33.4613,,,,,motorway,0,
434,,-112.08056,33.46148,,,,,motorway,0,
435,,-112.06655,33.46213,,,,,motorway,0,
436,,-112.06792,33.46222,,,,,motorway,0,
437,,-112.06855,33.46246,,,,,motorway,0,
438,,-112.09912,33.46213,,,,,motorway,0,
439,,-112.03758,33.45042,,,,,motorway,0,
440,,-112.02614,33.42529,,,,,motorway,0,
441,,-112.02653,33.42546,,,,,motorway,0,
442,,-112.02887,33.46158,,,,,motorway,0,
443,,-112.03009,33.46131,,,,,motorway,0,
444,,-112.03807,33.4772,,,,,motorway,0,
445,,-112.03974,33.48399,,,signal,,motorway,0,
446,,-112.03979,33.48295,,,,,motorway,0,
447,,-112.03863,33.46463,,,,,motorway,0,
448,,-112.03876,33.46807,,,,,motorway,0,
449,,-112.03794,33.44991,,,,,motorway,0,
450,,-112.03792,33.44514,,,signal,,motorway,0,
451,,-112.03817,33.44243,,,,,motorway,0,
452,,-112.03685,33.43905,,,,,motorway,0,
453,,-112.06247,33.46156,,,signal,,motorway,0,
454,,-112.02836,33.46249,,,,,motorway,0,
455,,-112.04919,33.46158,,,,,motorway,0,
456,,-112.04981,33.46161,,,,,motorway,0,
457,,-112.0623,33.46244,,,,,motorway,0,
458,,-112.03832,33.4652,,,,,motorway,0,
459,,-112.08809,33.4611,,,,,motorway,0,
460,,-112.08079,33.46078,,,,,motorway,0,
461,,-112.06812,33.46189,,,,,motorway,0,
462,,-112.06744,33.46296,,,,,motorway,0,
463,,-112.08093,33.46165,,,,,motorway,0,
464,,-112.08028,33.46175,,,,,motorway,0,
465,,-112.06906,33.42824,,,,,motorway,0,
466,,-112.04285,33.42743,,,,,motorway,0,
467,,-112.0314,33.42665,,,,,motorway,0,
468,,-112.02905,33.42599,,,,,motorway,0,
469,,-112.0253,33.42483,,,,,motorway,0,
470,,-112.03046,33.42713,,,,,motorway,1,
471,,-112.10002,33.46214,,,signal,,motorway,1,
472,,-112.03367,33.42671,,,,,motorway,0,
473,,-112.03703,33.44902,,,,,motorway,0,
474,,-112.03711,33.44854,,,,,motorway,0,
475,,-112.03705,33.44854,,,,,motorway,0,
476,,-112.09612,33.42896,,,signal,,motorway,0,
477,,-112.05054,33.46167,,,,,motorway,0,
478,,-112.0484,33.46262,,,,,motorway,0,
479,,-112.03964,33.46292,,,,,motorway,0,
480,,-112.03874,33.47085,,,,,motorway,0,
481,,-112.03752,33.45618,,,,,motorway,0,
482,,-112.02519,33.43738,,,,,motorway,0,
483,,-112.05287,33.42761,,,,,motorway,0,
484,,-112.02841,33.42667,,,,,motorway,0,
485,,-112.05946,33.42873,,,,,motorway,0,
486,,-112.03658,33.44669,,,,,motorway,0,
487,,-112.04891,33.46262,,,,,motorway,0,
488,,-112.0303,33.43772,,,,,motorway,0,
489,,-112.02937,33.43742,,,,,motorway,0,
490,,-112.02491,33.4374,,,,,motorway,0,
491,,-112.04131,33.4858,,,,,motorway,1,
492,,-112.1009,33.46157,,,,,motorway,1,
493,,-112.1009,33.42892,,,,,motorway,1,
494,,-112.1009,33.46205,,,,,motorway,1,
495,,-112.1009,33.46143,,,,,motorway,1,
496,,-112.0199,33.46213,,,,,motorway,1,
497,,-112.04104,33.4858,,,,,motorway,1,
498,,-112.041,33.4858,,,,,motorway,1,
499,,-112.02038,33.4218,,,,,motorway,1,
500,,-112.1009,33.46193,,,,,motorway,1,
501,,-112.02091,33.4218,,,,,motorway,1,
502,,-112.1009,33.42872,,,,,motorway,1,
503,,-112.0199,33.46185,,,,,motorway,1,
504,,-112.04128,33.4858,,,,,motorway,1,
505,,-112.03697,33.43679,,,1,,motorway,1,2
506,,-112.03655,33.44828,,,1,,motorway,0,3
507,,-112.03657,33.44729,,,1,,motorway,0,0
508,,-112.03809,33.44728,,,1,,motorway,0,4
509,,-112.03812,33.46583,,,1,,motorway,0,1
510,,-112.03041,33.42622,,,1,,motorway,1,5
