link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity1,free_speed_km,,link_type_name,link_type,link_type_code,cost,geometry,original_link_id,original_node_id,original_osm_node_id,main_node_id,movement_str,TMC,free_speed,VDF_alpha1,VDF_beta1,,VDF_fftt1,VDF_cap1,capacity_utdf,main_node_id,link_capacity,capacity,saturation_flow_rate,green_time,phase_id,cycle_length,priority
80,201201,73900,,,310.5502551,1,,,,moto_1lane,11,a,,"LINESTRING (-112.14071 33.66944,-112.14019 33.66944,-112.14003 33.66944,-112.13989 33.66944,-112.13969 33.66943,-112.13926 33.66941,-112.1389 33.66939,-112.1387 33.66938,-112.1385 33.66937,-112.13835 33.66936,-112.13822 33.66935,-112.13806 33.66933,-112.13794 33.66932,-112.13783 33.6693,-112.13772 33.66928,-112.13758 33.66925,-112.13745 33.66923,-112.13738 33.66921)",84,,,,,,70,0.15,4,,0.165435633,1741,,,1741,1741,,,,,
81,402,74000,,,249.3963361,1,,,,moto_1lane,11,a,,"LINESTRING (-112.16243 33.66957,-112.16335 33.66953,-112.16362 33.66949,-112.16382 33.66947,-112.16406 33.66944,-112.16432 33.66941,-112.16511 33.66934)",85,,,,,,71,0.15,4,,0.130986617,1704,,,1704,1704,,,,,
82,325300,63702,,,364.9703056,1,,,,moto_1lane,11,a,,"LINESTRING (-112.1651 33.66871,-112.16431 33.66889,-112.1638 33.669,-112.1634 33.66907,-112.16265 33.66917,-112.1619 33.66924,-112.16124 33.66933)",86,,,,,,71,0.15,4,,0.191687763,1704,,,1704,1704,,,,,
83,325500,202,,,378.4383884,1,,,,moto_1lane,11,a,,"LINESTRING (-112.17341 33.6687,-112.17416 33.66864,-112.17511 33.66858,-112.17613 33.66854,-112.17702 33.66853,-112.17748 33.66847)",87,,,,,,71,0.15,4,,0.198761398,1704,,,1704,1704,,,,,
84,74202,74300,,,463.0468205,1,,,,moto_1lane,11,a,,"LINESTRING (-112.17748 33.66824,-112.17702 33.66818,-112.17612 33.66818,-112.1751 33.66813,-112.17417 33.66808,-112.1725 33.66798)",88,,,,,,71,0.15,4,,0.243198988,1704,,,1704,1704,,,,,
85,44801,359400,,,519.9295509,1,,,,moto_1lane,11,a,,"LINESTRING (-112.17889 33.66846,-112.17919 33.66852,-112.18026 33.66852,-112.18105 33.66851,-112.18233 33.66857,-112.18298 33.66861,-112.18449 33.66871)",89,,,,,,71,0.15,4,,0.273074633,1704,,,1704,1704,,,,,
86,201800,63501,,,376.7503003,1,,,,moto_1lane,11,a,,"LINESTRING (-112.18295 33.66799,-112.18258 33.66804,-112.18104 33.66815,-112.18026 33.66816,-112.17918 33.66817,-112.1789 33.66823)",90,,,,,,71,0.15,4,,0.197874789,1704,,,1704,1704,,,,,
87,67601,136500,,,91.16827992,2,,,,moto_2lane,11,a,,"LINESTRING (-112.18748 33.66874,-112.18788 33.6687,-112.18846 33.66866)",91,,,,,,71,0.15,4,,0.047882919,3409,,,3409,1704.5,,,,,
88,63402,356000,,,428.5094469,1,,,,moto_1lane,11,a,,"LINESTRING (-112.19407 33.66816,-112.1933 33.6681,-112.19281 33.66809,-112.19259 33.66809,-112.19233 33.66807,-112.19172 33.66802,-112.19122 33.66797,-112.19084 33.66792,-112.18974 33.66775,-112.18949 33.66771)",92,,,,,,71,0.15,4,,0.225059453,1704,,,1704,1704,,,,,
89,45402,356200,,,437.4337212,1,,,,moto_1lane,11,a,,"LINESTRING (-112.19571 33.66838,-112.19739 33.6684,-112.19829 33.66842,-112.19951 33.66847,-112.20043 33.66851)",93,,,,,,71,0.15,4,,0.229746613,1704,,,1704,1704,,,,,
90,68202,177600,,,107.5575472,2,,,,moto_2lane,11,a,,"LINESTRING (-112.20236 33.66743,-112.20121 33.66758)",94,,,,,,71,0.15,4,,0.056490803,3409,,,3409,1704.5,,,,,
91,325201,37900,,,453.4172754,1,,,,moto_1lane,11,a,,"LINESTRING (-112.20529 33.66828,-112.20622 33.66816,-112.20718 33.66805,-112.20885 33.66793,-112.21015 33.66782)",95,,,,,,71,0.15,4,,0.23814141,1704,,,1704,1704,,,,,
