link_id,from_node_id,to_node_id,time_period,duration_in_sec,state,state_code
26807,14278,14282,0829:00.000_0829:06.000,6,1,g
26807,14278,14282,0829:06.000_0830:40.000,94,0,r
26807,14278,14282,0830:40.000_0830:46.000,6,1,g
26807,14278,14282,0830:46.000_0832:20.0-1,94,0,r
26807,14278,14282,0832:20.0-1_0832:26.000,6,1,g
26807,14278,14282,0832:26.000_0834:00.000,94,0,r
26807,14278,14282,0834:00.000_0834:06.0-1,6,1,g
26807,14278,14282,0834:06.0-1_0835:40.001,94,0,r
26807,14278,14282,0835:40.001_0835:46.000,6,1,g
26807,14278,14282,0835:46.000_0837:20.0-1,94,0,r
26807,14278,14282,0837:20.0-1_0837:26.000,6,1,g
26807,14278,14282,0837:26.000_0839:00.000,94,0,r
26807,14278,14282,0839:00.000_0839:06.0-1,6,1,g
26807,14278,14282,0839:06.0-1_0840:40.001,94,0,r
26807,14278,14282,0840:40.001_0840:46.000,6,1,g
26807,14278,14282,0840:46.000_0842:20.0-1,94,0,r
26807,14278,14282,0842:20.0-1_0842:26.000,6,1,g
26807,14278,14282,0842:26.000_0844:00.000,94,0,r
26807,14278,14282,0844:00.000_0844:06.0-1,6,1,g
26807,14278,14282,0844:06.0-1_0845:40.001,94,0,r
26807,14278,14282,0845:40.001_0845:46.000,6,1,g
26807,14278,14282,0845:46.000_0847:20.0-1,94,0,r
26807,14278,14282,0847:20.0-1_0847:26.000,6,1,g
26807,14278,14282,0847:26.000_0849:00.000,94,0,r
26807,14278,14282,0849:00.000_0849:06.0-1,6,1,g
26807,14278,14282,0849:06.0-1_0850:40.001,94,0,r
26807,14278,14282,0850:40.001_0850:46.000,6,1,g
26807,14278,14282,0850:46.000_0852:20.0-1,94,0,r
26807,14278,14282,0852:20.0-1_0852:26.000,6,1,g
26807,14278,14282,0852:26.000_0854:00.000,94,0,r
26807,14278,14282,0854:00.000_0854:06.0-1,6,1,g
26807,14278,14282,0854:06.0-1_0855:40.001,94,0,r
26807,14278,14282,0855:40.001_0855:46.000,6,1,g
26807,14278,14282,0855:46.000_0857:20.0-1,94,0,r
26807,14278,14282,0857:20.0-1_0857:26.000,6,1,g
26807,14278,14282,0857:26.000_0859:00.000,94,0,r
26807,14278,14282,0859:00.000_0859:06.0-1,6,1,g
26807,14278,14282,0859:06.0-1_0900:40.001,94,0,r
26807,14278,14282,0900:40.001_0900:46.000,6,1,g
26807,14278,14282,0900:46.000_0902:20.0-1,94,0,r
26807,14278,14282,0902:20.0-1_0902:26.000,6,1,g
26807,14278,14282,0902:26.000_0904:00.000,94,0,r
26807,14278,14282,0904:00.000_0904:06.0-1,6,1,g
26807,14278,14282,0904:06.0-1_0905:40.001,94,0,r
26807,14278,14282,0905:40.001_0905:46.000,6,1,g
26807,14278,14282,0905:46.000_0907:20.0-1,94,0,r
26807,14278,14282,0907:20.0-1_0907:26.000,6,1,g
26807,14278,14282,0907:26.000_0909:00.000,94,0,r
26807,14278,14282,0909:00.000_0909:06.0-1,6,1,g
26807,14278,14282,0909:06.0-1_0910:40.001,94,0,r
26807,14278,14282,0910:40.001_0910:46.000,6,1,g
26807,14278,14282,0910:46.000_0912:20.0-1,94,0,r
26807,14278,14282,0912:20.0-1_0912:26.000,6,1,g
26807,14278,14282,0912:26.000_0914:00.000,94,0,r
26807,14278,14282,0914:00.000_0914:06.0-1,6,1,g
26807,14278,14282,0914:06.0-1_0915:40.001,94,0,r
26807,14278,14282,0915:40.001_0915:46.000,6,1,g
26807,14278,14282,0915:46.000_0917:20.0-1,94,0,r
26807,14278,14282,0917:20.0-1_0917:26.000,6,1,g
26807,14278,14282,0917:26.000_0919:00.000,94,0,r
26807,14278,14282,0919:00.000_0919:06.0-1,6,1,g
26807,14278,14282,0919:06.0-1_0920:40.001,94,0,r
26807,14278,14282,0920:40.001_0920:46.000,6,1,g
26807,14278,14282,0920:46.000_0922:20.0-1,94,0,r
26807,14278,14282,0922:20.0-1_0922:26.000,6,1,g
26807,14278,14282,0922:26.000_0924:00.000,94,0,r
26807,14278,14282,0924:00.000_0924:06.0-1,6,1,g
26807,14278,14282,0924:06.0-1_0925:40.001,94,0,r
26807,14278,14282,0925:40.001_0925:46.000,6,1,g
26807,14278,14282,0925:46.000_0927:20.0-1,94,0,r
26807,14278,14282,0927:20.0-1_0927:26.000,6,1,g
26807,14278,14282,0927:26.000_0929:00.000,94,0,r
26807,14278,14282,0929:00.000_0929:06.0-1,6,1,g
26807,14278,14282,0929:06.0-1_0930:40.001,94,0,r
26807,14278,14282,0930:40.001_0930:46.000,6,1,g
26807,14278,14282,0930:46.000_0932:20.0-1,94,0,r
26807,14278,14282,0932:20.0-1_0932:26.000,6,1,g
26807,14278,14282,0932:26.000_0934:00.000,94,0,r
26807,14278,14282,0934:00.000_0934:06.0-1,6,1,g
26807,14278,14282,0934:06.0-1_0935:40.001,94,0,r
26807,14278,14282,0935:40.001_0935:46.000,6,1,g
26807,14278,14282,0935:46.000_0937:20.0-1,94,0,r
26807,14278,14282,0937:20.0-1_0937:26.000,6,1,g
26807,14278,14282,0937:26.000_0939:00.000,94,0,r
26807,14278,14282,0939:00.000_0939:06.0-1,6,1,g
